144,0.96,-0.08,0.24,0.03,0.00,-0.01,-1.07,1207,979.88,22.10
156,0.96,-0.09,0.26,0.03,0.01,-0.00,-1.07,1305,979.93,22.03
194,0.94,-0.11,0.32,0.04,0.01,-0.01,-1.07,1604,979.84,22.06
195,0.94,-0.11,0.32,0.04,0.01,-0.01,-1.07,1617,979.84,22.06
197,0.94,-0.11,0.33,0.04,0.01,-0.00,-1.07,1638,979.79,22.06
198,0.93,-0.11,0.33,0.04,0.01,-0.00,-1.07,1651,979.79,22.06
199,0.93,-0.11,0.33,0.04,0.01,-0.01,-1.08,1664,979.79,22.06
200,0.93,-0.11,0.34,0.04,0.00,-0.01,-1.07,1677,979.79,22.06
201,0.93,-0.11,0.34,0.04,0.00,-0.01,-1.07,1690,979.79,22.06
202,0.93,-0.11,0.34,0.04,0.00,-0.01,-1.08,1702,979.79,22.06
203,0.93,-0.11,0.34,0.04,0.00,-0.01,-1.07,1716,979.80,22.06
204,0.93,-0.11,0.35,0.04,0.00,-0.01,-1.07,1728,979.80,22.06
205,0.93,-0.11,0.35,0.04,0.01,-0.00,-1.08,1741,979.80,22.06
206,0.93,-0.12,0.35,0.04,0.01,-0.00,-1.08,1755,979.80,22.06
207,0.93,-0.12,0.35,0.04,0.01,-0.00,-1.07,1767,979.80,22.07
208,0.92,-0.12,0.36,0.04,0.01,-0.00,-1.08,1780,979.80,22.07
209,0.92,-0.12,0.36,0.04,0.01,-0.00,-1.08,1794,979.84,22.07
210,0.92,-0.12,0.36,0.04,0.01,-0.01,-1.08,1806,979.84,22.07
211,0.92,-0.12,0.36,0.04,0.00,-0.01,-1.07,1819,979.84,22.07
212,0.92,-0.12,0.36,0.04,0.00,-0.01,-1.07,1831,979.84,22.07
213,0.92,-0.12,0.37,0.04,0.00,-0.01,-1.07,1845,979.84,22.07
214,0.92,-0.12,0.37,0.04,0.00,-0.00,-1.07,1858,979.84,22.07
215,0.92,-0.12,0.37,0.04,0.00,-0.00,-1.07,1870,979.84,22.07
216,0.92,-0.12,0.37,0.04,0.00,-0.00,-1.07,1884,979.84,22.07
217,0.92,-0.12,0.38,0.04,0.00,-0.00,-1.07,1896,979.84,22.07
218,0.91,-0.12,0.38,0.04,0.00,-0.01,-1.07,1909,979.84,22.07
219,0.91,-0.12,0.38,0.04,0.00,-0.01,-1.07,1923,979.84,22.09
220,0.91,-0.13,0.38,0.04,0.00,-0.01,-1.07,1935,979.84,22.09
221,0.91,-0.13,0.39,0.04,0.00,-0.01,-1.08,1948,979.84,22.09
222,0.91,-0.13,0.39,0.04,-0.00,-0.00,-1.06,1961,979.94,22.09
223,0.91,-0.13,0.39,0.04,-0.00,-0.00,-1.06,1974,979.94,22.09
224,0.91,-0.13,0.39,0.04,0.00,-0.01,-1.07,1987,979.94,22.09
225,0.91,-0.13,0.40,0.04,0.00,-0.01,-1.07,1999,979.94,22.08
226,0.91,-0.13,0.40,0.04,0.00,-0.01,-1.07,2013,979.94,22.08
227,0.90,-0.13,0.40,0.04,0.06,0.03,-1.04,2026,979.94,22.08
228,0.90,-0.13,0.40,0.04,-0.03,0.03,-1.31,2038,979.88,22.08
229,0.90,-0.14,0.41,0.04,-0.03,0.11,-1.31,2052,979.88,22.08
230,0.90,-0.15,0.41,0.04,0.10,0.06,-1.28,2065,979.88,22.08
